ID	Label
D1-1	Human
D1-2	AI
D1-3	Human
D1-4	AI
D1-5	Human
D1-6	AI
D1-7	Human
D1-8	AI
D1-9	Human
D1-10	AI
D1-11	Human
D1-12	AI
D1-13	Human
D1-14	AI
D1-15	Human
D1-16	AI
D1-17	Human
D1-18	AI
D1-19	Human
D1-20	AI
D1-21	Human
D1-22	AI
D1-23	Human
D1-24	AI
D1-25	Human
D1-26	AI
D1-27	Human
D1-28	AI
D1-29	Human
D1-30	AI
D1-31	Human
D1-32	AI
D1-33	Human
D1-34	AI
D1-35	Human
D1-36	AI
D1-37	Human
D1-38	AI
D1-39	Human
D1-40	AI
D1-41	Human
D1-42	AI
D1-43	Human
D1-44	Human
D1-45	AI
D1-46	Human
D1-47	AI
D1-48	Human
D1-49	Human
D1-50	AI
D1-51	Human
D1-52	AI
D1-53	Human
D1-54	AI
D1-55	Human
D1-56	AI
D1-57	Human
D1-58	AI
D1-59	Human
D1-60	AI
D1-61	Human
D1-62	Human
D1-63	AI
D1-64	Human
D1-65	AI
D1-66	Human
D1-67	Human
D1-68	AI
D1-69	Human
D1-70	AI
D1-71	Human
D1-72	AI
D1-73	Human
D1-74	AI
D1-75	Human
D1-76	AI
D1-77	Human
D1-78	AI
D1-79	Human
D1-80	AI
D1-81	Human
D1-82	AI
D1-83	Human
D1-84	AI
D1-85	Human
D1-86	AI
D1-87	Human
D1-88	AI
D1-89	Human
D1-90	AI
D1-91	Human
D1-92	AI
D1-93	Human
D1-94	AI
D1-95	Human
D1-96	AI
D1-97	Human
D1-98	AI
D1-99	Human
D1-100	AI
