ID	Label
D2-1	AI
D2-2	Human
D2-3	AI
D2-4	Human
D2-5	Human
D2-6	Human
D2-7	AI
D2-8	Human
D2-9	Human
D2-10	Human
D2-11	Human
D2-12	AI
D2-13	Human
D2-14	Human
D2-15	Human
D2-16	AI
D2-17	AI
D2-18	Human
D2-19	Human
D2-20	Human
D2-21	AI
D2-22	AI
D2-23	AI
D2-24	AI
D2-25	AI
D2-26	Human
D2-27	AI
D2-28	AI
D2-29	Human
D2-30	Human
D2-31	AI
D2-32	Human
D2-33	AI
D2-34	AI
D2-35	Human
D2-36	Human
D2-37	Human
D2-38	Human
D2-39	Human
D2-40	AI
D2-41	AI
D2-42	Human
D2-43	AI
D2-44	Human
D2-45	Human
D2-46	Human
D2-47	AI
D2-48	Human
D2-49	Human
D2-50	Human
D2-51	Human
D2-52	Human
D2-53	AI
D2-54	Human
D2-55	Human
D2-56	AI
D2-57	Human
D2-58	Human
D2-59	AI
D2-60	Human
D2-61	Human
D2-62	Human
D2-63	AI
D2-64	Human
D2-65	Human
D2-66	AI
D2-67	AI
D2-68	Human
D2-69	Human
D2-70	AI
D2-71	AI
D2-72	Human
D2-73	AI
D2-74	Human
D2-75	Human
D2-76	Human
D2-77	AI
D2-78	AI
D2-79	Human
D2-80	AI
D2-81	Human
D2-82	AI
D2-83	Human
D2-84	Human
D2-85	AI
D2-86	Human
D2-87	Human
D2-88	AI
D2-89	Human
D2-90	Human
D2-91	Human
D2-92	Human
D2-93	Human
D2-94	Human
D2-95	Human
D2-96	Human
D2-97	Human
D2-98	AI
D2-99	AI
D2-100	Human
