ID	Label
D2-1	Human
D2-2	AI
D2-3	AI
D2-4	Human
D2-5	Human
D2-6	Human
D2-7	AI
D2-8	AI
D2-9	Human
D2-10	AI
D2-11	AI
D2-12	AI
D2-13	Human
D2-14	Human
D2-15	Human
D2-16	AI
D2-17	Human
D2-18	AI
D2-19	Human
D2-20	Human
D2-21	Human
D2-22	AI
D2-23	AI
D2-24	AI
D2-25	Human
D2-26	AI
D2-27	Human
D2-28	AI
D2-29	AI
D2-30	AI
D2-31	AI
D2-32	Human
D2-33	AI
D2-34	AI
D2-35	AI
D2-36	AI
D2-37	AI
D2-38	AI
D2-39	Human
D2-40	Human
D2-41	Human
D2-42	Human
D2-43	AI
D2-44	Human
D2-45	AI
D2-46	AI
D2-47	Human
D2-48	AI
D2-49	Human
D2-50	Human
D2-51	Human
D2-52	Human
D2-53	AI
D2-54	Human
D2-55	Human
D2-56	AI
D2-57	Human
D2-58	Human
D2-59	AI
D2-60	AI
D2-61	AI
D2-62	AI
D2-63	AI
D2-64	AI
D2-65	AI
D2-66	AI
D2-67	AI
D2-68	AI
D2-69	AI
D2-70	AI
D2-71	AI
D2-72	AI
D2-73	AI
D2-74	AI
D2-75	AI
D2-76	AI
D2-77	AI
D2-78	Human
D2-79	Human
D2-80	AI
D2-81	AI
D2-82	AI
D2-83	AI
D2-84	AI
D2-85	AI
D2-86	AI
D2-87	Human
D2-88	AI
D2-89	AI
D2-90	Human
D2-91	Human
D2-92	AI
D2-93	AI
D2-94	AI
D2-95	Human
D2-96	Human
D2-97	AI
D2-98	AI
D2-99	AI
D2-100	Human
